dt;x;y;z;a;b;c;j_cfg
0.008;610.0329223598314;101.33292235983146;472.02;166.48;0.46;-179.67;1028
0.008;612.7950891918115;104.09508919181155;472.02;166.48;0.46;-179.67;1028
0.008;615.5416347918258;106.84163479182581;472.02;166.48;0.46;-179.67;1028
0.008;618.2707603513447;109.57076035134475;472.02;166.48;0.46;-179.67;1028
0.008;620.9806670618391;112.28066706183904;472.02;166.48;0.46;-179.67;1028
0.008;623.6695561147793;114.96955611477932;472.02;166.48;0.46;-179.67;1028
0.008;626.3356287016361;117.63562870163605;472.02;166.48;0.46;-179.67;1028
0.008;628.9770860138799;120.27708601387991;472.02;166.48;0.46;-179.67;1028
0.008;631.5921292429814;122.89212924298147;472.02;166.48;0.46;-179.67;1028
0.008;634.1789595804114;125.47895958041147;472.02;166.48;0.46;-179.67;1028
0.008;636.7357782176402;128.03577821764026;472.02;166.48;0.46;-179.67;1028
0.008;639.2607863461387;130.56078634613868;472.02;166.48;0.46;-179.67;1028
0.008;641.7521851573772;133.05218515737715;472.02;166.48;0.46;-179.67;1028
0.008;644.2081758428263;135.50817584282635;472.02;166.48;0.46;-179.67;1028
0.008;646.6269595939568;137.92695959395684;472.02;166.48;0.46;-179.67;1028
0.008;649.0067376022391;140.3067376022392;472.02;166.48;0.46;-179.67;1028
0.008;651.3457110591442;142.64571105914422;472.02;166.48;0.46;-179.67;1028
0.008;653.6420811561421;144.94208115614214;472.02;166.48;0.46;-179.67;1028
0.008;655.8941246142061;147.19412461420615;472.02;166.48;0.46;-179.67;1028
0.008;658.1011181771586;149.4011181771586;472.02;166.48;0.46;-179.67;1028
0.008;660.2630468527427;151.5630468527428;472.02;166.48;0.46;-179.67;1028
0.008;662.3799106409588;153.67991064095878;472.02;166.48;0.46;-179.67;1028
0.008;664.4517095418066;155.75170954180663;472.02;166.48;0.46;-179.67;1028
0.008;666.4784435552863;157.7784435552863;472.02;166.48;0.46;-179.67;1028
0.008;668.4601126813977;159.7601126813978;472.02;166.48;0.46;-179.67;1028
0.008;670.3967169201411;161.6967169201411;472.02;166.48;0.46;-179.67;1028
0.008;672.2882562715163;163.58825627151623;472.02;166.48;0.46;-179.67;1028
0.008;674.1347307355231;165.43473073552315;472.02;166.48;0.46;-179.67;1028
0.008;675.9361403121618;167.23614031216187;472.02;166.48;0.46;-179.67;1028
0.008;677.6924850014325;168.99248500143244;472.02;166.48;0.46;-179.67;1028
0.008;679.4037648033348;170.70376480333476;472.02;166.48;0.46;-179.67;1028
0.008;681.069979717869;172.369979717869;472.02;166.48;0.46;-179.67;1028
0.008;682.691129745035;173.99112974503504;472.02;166.48;0.46;-179.67;1028
0.008;684.2672148848328;175.56721488483282;472.02;166.48;0.46;-179.67;1028
0.008;685.7982351372625;177.09823513726246;472.02;166.48;0.46;-179.67;1028
0.008;687.2841905023238;178.58419050232385;472.02;166.48;0.46;-179.67;1028
0.008;688.7250809800171;180.02508098001715;472.02;166.48;0.46;-179.67;1028
0.008;690.1209065703422;181.4209065703422;472.02;166.48;0.46;-179.67;1028
0.008;691.4716672732991;182.77166727329916;472.02;166.48;0.46;-179.67;1028
0.008;692.7773630888878;184.07736308888786;472.02;166.48;0.46;-179.67;1028
0.008;694.0379940171084;185.33799401710843;472.02;166.48;0.46;-179.67;1028
0.008;695.2535600579607;186.55356005796074;472.02;166.48;0.46;-179.67;1028
0.008;696.4240612114448;187.72406121144485;472.02;166.48;0.46;-179.67;1028
0.008;697.5494974775609;188.84949747756087;472.02;166.48;0.46;-179.67;1028
0.008;698.6298688563086;189.92986885630864;472.02;166.48;0.46;-179.67;1028
0.008;699.6651753476883;190.96517534768827;472.02;166.48;0.46;-179.67;1028
0.008;700.6554169516996;191.9554169516997;472.02;166.48;0.46;-179.67;1028
0.008;701.600593668343;192.90059366834294;472.02;166.48;0.46;-179.67;1028
0.008;702.500705497618;193.80070549761803;472.02;166.48;0.46;-179.67;1028
0.008;703.3557524395248;194.6557524395248;472.02;166.48;0.46;-179.67;1028
0.008;704.1657344940636;195.46573449406355;472.02;166.48;0.46;-179.67;1028
0.008;704.9306516612339;196.230651661234;472.02;166.48;0.46;-179.67;1028
0.008;705.6505039410363;196.9505039410363;472.02;166.48;0.46;-179.67;1028
0.008;706.3252913334704;197.6252913334704;472.02;166.48;0.46;-179.67;1028
0.008;706.9550138385364;198.25501383853634;472.02;166.48;0.46;-179.67;1028
0.008;707.5396714999433;198.8396714999434;472.02;166.48;0.46;-179.67;1028
0.008;708.0796138601856;199.37961386018566;472.02;166.48;0.46;-179.67;1028
0.008;708.5763848157221;199.8763848157222;472.02;166.48;0.46;-179.67;1028
0.008;709.0317831750826;200.33178317508265;472.02;166.48;0.46;-179.67;1028
0.008;709.4476077467962;200.74760774679618;472.02;166.48;0.46;-179.67;1028
0.008;709.8256573393921;201.12565733939215;472.02;166.48;0.46;-179.67;1028
0.008;710.1677307614001;201.4677307614001;472.02;166.48;0.46;-179.67;1028
0.008;710.4756268213496;201.77562682134953;472.02;166.48;0.46;-179.67;1028
0.008;710.7511443277696;202.05114432776958;472.02;166.48;0.46;-179.67;1028
0.008;710.9960820891899;202.29608208918995;472.02;166.48;0.46;-179.67;1028
0.008;711.2122389141398;202.51223891413974;472.02;166.48;0.46;-179.67;1028
0.008;711.4014136111487;202.7014136111486;472.02;166.48;0.46;-179.67;1028
0.008;711.5654049887457;202.8654049887458;472.02;166.48;0.46;-179.67;1028
0.008;711.7060118554607;203.00601185546066;472.02;166.48;0.46;-179.67;1028
0.008;711.8250330198227;203.12503301982275;472.02;166.48;0.46;-179.67;1028
0.008;711.9242672903615;203.22426729036158;472.02;166.48;0.46;-179.67;1028
0.008;712.0055134756062;203.30551347560618;472.02;166.48;0.46;-179.67;1028
0.008;712.0705703840863;203.37057038408625;472.02;166.48;0.46;-179.67;1028
0.008;712.1212368243309;203.421236824331;472.02;166.48;0.46;-179.67;1028
0.008;712.15931160487;203.4593116048701;472.02;166.48;0.46;-179.67;1028
0.008;712.1865935342328;203.48659353423272;472.02;166.48;0.46;-179.67;1028
0.008;712.2048814209483;203.50488142094827;472.02;166.48;0.46;-179.67;1028
0.008;712.2159740735462;203.5159740735462;472.02;166.48;0.46;-179.67;1028
0.008;712.2216703005561;203.52167030055608;472.02;166.48;0.46;-179.67;1028
0.008;712.223768910507;203.52376891050704;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
0.008;712.2240687119286;203.52406871192852;472.02;166.48;0.46;-179.67;1028
