(time);AXE:IP_F(1);AXE:IP_F(2);AXE:IP_F(3);AXE:IP_F(4);AXE:IP_F(5);AXE:IP_F(6);LOV:ERAG.QC[1];LOV:ERAG.QC[2];LOV:ERAG.QC[3];LOV:ERAG.QC[4];LOV:ERAG.QC[5];LOV:ERAG.QC[6];LOV:ERAG.MODEL_JC_CFG;AXE:IP(1);AXE:IP(2);AXE:IP(3);AXE:IP(4);AXE:IP(5);AXE:IP(6)
4928002;-102.6899490356445;7.180424213409424;81.34529113769531;1.105775237083435;90.57920074462891;-178.9828643798828;22.57796478271484;-579.4219970703125;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.5580062866211;6.943718910217285;81.614501953125;1.072221994400024;90.5782470703125;-178.8508148193359
4936001;-102.6399917602539;7.091156482696533;81.44666290283203;1.093270540237427;90.57884216308594;-178.932861328125;23.22946929931641;-578.7705078125;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.5073928833008;6.854205131530762;81.71576690673828;1.060073256492615;90.577880859375;-178.8001556396484
4944001;-102.5897827148438;7.001813888549805;81.54798126220703;1.080904126167297;90.57847595214844;-178.8826141357422;23.88244247436523;-578.1175537109375;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.4565277099609;6.764627456665039;81.81694793701172;1.048065543174744;90.5775146484375;-178.7492370605469
4952000;-102.5393295288086;6.912374019622803;81.64925384521484;1.068670868873596;90.57811737060547;-178.8321075439453;24.53690719604492;-577.4630737304688;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.4054183959961;6.674971580505371;81.91806793212891;1.036195755004883;90.5771484375;-178.6980895996094
4959998;-102.4886245727539;6.822844505310059;81.75048065185547;1.056572675704956;90.57775115966797;-178.7813720703125;25.19286155700684;-576.80712890625;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.3540573120117;6.585235595703125;82.01913452148438;1.024463176727295;90.5767822265625;-178.6466979980469
4967998;-102.4376754760742;6.733251571655273;81.85162353515625;1.044615387916565;90.57738494873047;-178.7303771972656;25.85024452209473;-576.1497192382813;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.3024597167969;6.495436668395996;82.1201171875;1.012872099876404;90.576416015625;-178.5950622558594
4976001;-102.3864822387695;6.643598079681396;81.95269012451172;1.03279972076416;90.57701873779297;-178.6791534423828;26.50901222229004;-575.490966796875;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.250617980957;6.405587673187256;82.22100067138672;1.00142502784729;90.57604217529297;-178.5431671142578
4984000;-102.3350448608398;6.553862571716309;82.05369567871094;1.021121263504028;90.57664489746094;-178.6276702880859;27.16918754577637;-574.830810546875;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.1985244750977;6.315676212310791;82.32180786132813;0.9901192784309387;90.57566833496094;-178.4910430908203
4992001;-102.2833633422852;6.464052677154541;82.15464019775391;1.009581565856934;90.57627868652344;-178.5759429931641;27.83076667785645;-574.169189453125;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.1461944580078;6.225699424743652;82.42253875732422;0.9789544343948364;90.57529449462891;-178.4386749267578
5000001;-102.2314300537109;6.374194145202637;82.25548553466797;0.9981858134269714;90.57590484619141;-178.5239715576172;28.49369239807129;-573.5062866210938;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.0936126708984;6.135674476623535;82.52317047119141;0.9679339528083801;90.57492065429688;-178.3860626220703
